,_id,symbol,name,categories,createdAt,enabledAttributesFilters,isDraft,isDerivative,nftImageType,totalItems,updatedAt,isFlagged,version
217,618329fe9972a20011f80d54,boryoku_dragonz,Boryoku Dragonz,['pfps'],2021-11-04T00:31:56.746Z,True,False,False,,,2022-04-03T13:41:54.240Z,False,v3
225,61f9b3a4b98400339f5911c5,bulldog_billionaires,Bulldog Billionaires,"['pfps', 'art']",2022-02-01T23:17:00.609Z,True,False,False,,0.0,2022-04-03T13:22:48.953Z,,v3
297,61f9b3a4b98400339f5911c5,bulldog_billionaires,Bulldog Billionaires,"['pfps', 'art']",2022-02-01T23:17:00.609Z,True,False,False,,0.0,2022-04-03T13:22:48.953Z,,v4
315,6259d74f8f699f0011a57116,bushidosociety,Bushido Society,"['pfps', 'art']",2022-04-15T20:36:33.986Z,True,False,,,,2022-04-18T16:30:42.260Z,,v4
182,622a544a47a586b152f3f899,cets_on_creck,CETS ON CRECK,"['pfps', 'art']",2022-03-10T19:40:57.935Z,True,False,False,,6969.0,2022-04-03T13:54:51.873Z,False,v3
83,622a544a47a586b152f3f899,cets_on_creck,CETS ON CRECK,"['pfps', 'art']",2022-03-10T19:40:57.935Z,True,False,False,,6969.0,,False,v2
303,622a544a47a586b152f3f899,cets_on_creck,CETS ON CRECK,"['pfps', 'art']",2022-03-10T19:40:57.935Z,True,False,False,,6969.0,2022-04-18T16:37:11.167Z,False,v4
319,6202a9897f066e00122ac6a0,citizens_by_solsteads,Citizens by Solsteads,"['art', 'pfps']",2022-02-08T17:34:01.654Z,True,False,,,,2022-04-18T15:01:25.088Z,,v4
184,6202a9897f066e00122ac6a0,citizens_by_solsteads,Citizens by Solsteads,"['art', 'pfps']",2022-02-08T17:34:01.654Z,True,False,,,,2022-04-03T13:24:15.173Z,,v3
336,624f098150304700114a64f9,cosmic_ape_crusaders,Cosmic Ape Crusaders,"['pfps', 'virtual_worlds']",2022-04-08T00:00:24.358Z,True,False,False,,,2022-04-18T15:36:42.029Z,,v4
