,id,price,owner,collectionName,collectionTitle,title,propertyCategory,creators,properties,tokenDelegateValid,rarity,version,Trait_Background,Trait_Body,Trait_Clothes,Trait_Eyes,Trait_Head,Trait_Mouth
1455,4S1Vz3c4N5QShx7suZyY9qjHFVD6aKz4ngLCVFqu942N,0.3,7Q1cTAsq1a3FyGN5tajZGcXngQ4A7722H2XZuJKGWem4,monkelabs_dao,MonkeLabs DAO,LabMonke #3672,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/f7ed318d1b98b43d096dd28a82d4af40.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Purple,Arctic,TShirt,None,Battery,Smile
1456,FBXfngcz9unZzUuhcywJHhugUdZL9tnmvk7U9L45TQ1k,0.3,Cepoquuqwcp69LECT1WGCmMfaYud3ikxHzN32jya1mMf,monkelabs_dao,MonkeLabs DAO,LabMonke #4540,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/af0e5715e41009e86cbb1315282d95bf.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Green,Blue,LabCoatClosed,Glasses,Topaz,Line
1457,5Ghmo81cgnShjo33A8a69MZsw4z5RGmMYGEG8rNYqHuD,0.3,71rYgyLhnDrg5hzgd5FQSpR5Lodex9kG1WmQSDKnydbJ,monkelabs_dao,MonkeLabs DAO,LabMonke #3497,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/a4fb5c00505e3a2fa12da408c52b20f8.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Yellow,Purple,LabCoatOpen,None,LightBulb,Smile
1458,GaMjNDZLrQvshubb9ZhAkxMbMwMJtmMRS2BHtqfdyaZe,0.3,324hUwxCpkRVbbtEdFxuLzzDegJy2dWe3RhZNAj3kXSx,monkelabs_dao,MonkeLabs DAO,LabMonke #176,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/8a4eda5522a1fd1814aa96c6ff64c11a.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Red,Gorilla,TShirt,None,Topaz,Thoughtful
1459,6TFAxAWZRmfFZnqtr1vstT6yVQPEzp6ERGPQWaxkUEGy,0.3,CmujpE7gPGTFVVF5R1X2bSxByDjyjCQWmwvTLzW9bG68,monkelabs_dao,MonkeLabs DAO,LabMonke #2509,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/522e7b9b7fe3163cd4cf1205988996f8.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Yellow,Purple,TShirt,Goggles,Brain,Full
1460,GAPk5yiBL1iNRS5MbR1vnLWAd8oihswmhQmtHvWk3WaA,0.309999999,HR6bgErCj3Hg2GJ2STsNEFkFy9YLBG1skB5UgpMJnJL6,monkelabs_dao,MonkeLabs DAO,LabMonke #4688,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/5ef5e2252eef109a99a349eeeb3db5ca.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Purple,Blue,LabCoatClosed,NightVision,Ruby,Open
1461,8nMv2nruMzRDLxMPUacWrjwA1gWCGDgTUEtGu1mEh5MN,0.32,AZ8WtDAiSyavAg1WdWLBPo2xVMPhS9gwhP7N1SLWSNYa,monkelabs_dao,MonkeLabs DAO,LabMonke #2884,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/694ee4fbe370f1434633d2c68aa8195e.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Green,Brown,Suit,NightVision,Battery,Thoughtful
1462,7TymouKGBUJZqevK4C3GerrV9mH7LamA4dmKXJwTvbx3,0.32,CcnMW9PBjwqqRcj4SWsxm92y7A8SmDTjwcuFHx6QvmoS,monkelabs_dao,MonkeLabs DAO,LabMonke #2657,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/21c9f1d1c13992dd08129f53f42582a4.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Red,Orangutan,TShirt,None,None,Full
1463,J21ULTKwPknMaRuedWgpH7QjZy4J52fogykep3puyzqg,0.33,B3N6qSn114PCnsySB8C4iNvZDq6xeJF8tivaoovBoMUN,monkelabs_dao,MonkeLabs DAO,LabMonke #4376,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/d0c1107a1ba50bd934f981eef6a952c4.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Purple,Purple,LabCoatOpen,NightVision,Brain,Full
1464,71vdK1pji2LVUTU12xNPvMZoFvpZfzAR9kuUAdPdvgE2,0.33,B3N6qSn114PCnsySB8C4iNvZDq6xeJF8tivaoovBoMUN,monkelabs_dao,MonkeLabs DAO,LabMonke #5310,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/3e5cbb6ecacf6a5bce9dafa8dbc32854.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,3,Purple,Green,LabCoatClosed,None,Pill,Full
